Ukrainian Word,English Translation,Random Word 1,Random Word 2,Random Word 3
книга,book,lifetime,year,month
мова,language,experience,music,apple
школа,school,experience,garden,bus
місто,city,cat,infinity,bird
дитина,child,play,sea,past
людина,person,sun,year,run
вчитель,teacher,future,train,dance
студент,student,week,history,century
будинок,house,experience,tree,park
робота,work,year,water,lifetime
час,time,bench,journey,infinity
день,day,idea,road,cat
ніч,night,history,house,dance
вода,water,friend,study,sky
їжа,food,train,direction,school
автомобіль,car,journey,song,class
літак,airplane,learn,apple,minute
потяг,train,study,map,travel
велосипед,bicycle,guide,cat,month
магазин,shop,second,dog,memory
гроші,money,river,beach,sand
річка,river,moment,cat,smile
озеро,lake,idea,apple,dream
море,sea,beach,sand,cat
океан,ocean,wisdom,map,trip
ліс,forest,beach,train,space
гора,mountain,bench,tree,apple
парк,park,space,memory,fish
вулиця,street,teach,swim,year
дорога,road,leaves,journey,lesson
двері,door,sand,learn,lifetime
вікно,window,study,plane,flower
комп'ютер,computer,mountain,branches,wisdom
телефон,phone,play,grass,universe
телевізор,television,space,tree,travel
радіо,radio,star,wisdom,past
музика,music,history,dance,fish
фільм,movie,boat,song,garden
книга,book,book,cat,happy
газета,newspaper,leaves,train,bench
журнал,magazine,map,moon,cloud
лист,letter,jump,explore,star
пошта,mail,week,garden,song
квітка,flower,bus,game,friend
дерево,tree,play,tree,lifetime
трава,grass,second,fish,sun
сад,garden,song,hour,apple
птах,bird,ticket,explore,future
тварина,animal,food,ticket,car
рибка,fish,hour,school,leaves
кіт,cat,lifetime,experience,leaves
собака,dog,river,decade,tree
кінь,horse,friend,week,happy
корова,cow,bird,jump,grass
свиня,pig,thought,plane,universe
курка,chicken,tree,plan,hour
яйце,egg,bicycle,bench,flower
молоко,milk,moment,fish,train
хліб,bread,day,idea,road
сир,cheese,direction,star,plane
м'ясо,meat,song,goal,homework
овочі,vegetables,school,century,experience
фрукти,fruits,food,infinity,dance
цукор,sugar,cat,history,month
сіль,salt,star,knowledge,apple
перець,pepper,wisdom,ticket,decade
масло,butter,past,river,water
олія,oil,idea,month,century
вино,wine,forest,bird,knowledge
пиво,beer,friend,lifetime,second
чай,tea,experience,guide,cloud
кава,coffee,study,island,century
сік,juice,second,run,travel
суп,soup,future,jump,sun
салат,salad,knowledge,run,swim
десерт,dessert,guide,city,moon
торт,cake,tree,road,leaves
пиріг,pie,plane,forest,day
морозиво,ice cream,year,minute,decade
шоколад,chocolate,fish,song,experience
цукерка,candy,discover,dance,island
печиво,cookie,park,sand,swim
холодильник,refrigerator,path,tree,dream
плита,stove,bicycle,run,laugh
духовка,oven,travel,learn,grass
мікрохвильовка,microwave,future,dance,plan
мити,wash,train,boat,city
чистити,clean,space,plane,day
готувати,cook,branches,sun,car
прасувати,iron,universe,green,eternity
прати,laundry,experience,learn,journey
спати,sleep,island,park,swim
прокидатися,wake up,city,car,food
снідати,breakfast,history,train,eternity
обідати,lunch,play,knowledge,trip
вечеряти,dinner,apple,wisdom,memory
читати,read,happy,minute,dance
писати,write,memory,moment,grass
говорити,speak,infinity,sky,lifetime
слухати,listen,boat,cat,mountain
бачити,see,house,sky,adventure
дивитися,watch,journey,smile,sky
відчувати,feel,explore,car,cloud
думати,think,run,play,history
